Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,_timestamp,_step,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rpos
0.6943439245223999,15.773181915283203,,50.33802795410156,1.105112910270691,2131.06681345,102.1812744140625,3.0699403285980225,0.6080328822135925,248.32870483398438,177.225830078125,4.2642340660095215,1764576635.323737,117964800.0,0.428088903427124,71.26241302490234,31.357450485229492,10.217981338500977,0.40540310740470886,2.0852086544036865,34.62472152709961,38.790985107421875,0.23481479287147522
,,,,,2131.067279146,102.16299438476562,,,,,,1764576635.3246188,118784000.0,,72.43763732910156,,,,,,,
,,,,,2131.067766973,104.54998779296875,,,,,,1764576635.3250806,119603200.0,,74.8476333618164,,,,,,,
,,,,,2131.068227851,105.29923248291016,,,,,,1764576635.3255732,120422400.0,,75.1843032836914,,,,,,,
,,,,,2131.068709206,105.05534362792969,,,,,,1764576635.3260345,121241600.0,,74.86113739013672,,,,,,,
,,,,,2131.069220331,105.59149932861328,,,,,,1764576635.3265178,122060800.0,,76.91146087646484,,,,,,,
,,,,,2131.069876766,104.5929946899414,,,,,,1764576635.3269784,122880000.0,,77.21719360351562,,,,,,,
,,,,,2131.070317645,106.08517456054688,,,,,,1764576635.3275387,123699200.0,,77.32530975341797,,,,,,,
,,,,,2131.070861431,107.38893127441406,,,,,,1764576635.3280888,124518400.0,,79.30763244628906,,,,,,,
,,,,,2131.071379046,107.29814147949219,,,,,,1764576635.32864,125337600.0,,81.06782531738281,,,,,,,
,,,,,2131.071906772,106.75218963623047,,,,,,1764576635.3291593,126156800.0,,80.24267578125,,,,,,,
,,,,,2131.072427812,108.5609130859375,,,,,,1764576635.3296936,126976000.0,,82.70262145996094,,,,,,,
,,,,,2131.072930913,106.60261535644531,,,,,,1764576635.3302078,127795200.0,,82.06331634521484,,,,,,,
,,,,,2131.073854785,108.2511215209961,,,,,,1764576635.330717,128614400.0,,84.54228210449219,,,,,,,
,,,,,2131.074377915,108.9283218383789,,,,,,1764576635.3313625,129433600.0,,85.28270721435547,,,,,,,
,,,,,2131.07488744,108.03311920166016,,,,,,1764576635.332159,130252800.0,,85.44786834716797,,,,,,,
0.6962469816207886,13.190739631652832,,47.33802795410156,1.0847622156143188,2131.077713748,107.86161804199219,3.2260935306549072,0.5640273094177246,259.3388977050781,189.7888641357422,4.652994155883789,1764576635.3345551,131072000.0,0.40823858976364136,85.55281829833984,31.27747344970703,10.758296966552734,0.4064509868621826,2.2381227016448975,32.32329559326172,38.88149642944336,0.21161073446273804
,,,,,2131.078321733,108.23834991455078,,,,,,1764576635.3354955,131891200.0,,86.84180450439453,,,,,,,
,,,,,2131.078891075,110.53495788574219,,,,,,1764576635.336057,132710400.0,,89.34056091308594,,,,,,,
,,,,,2131.079456151,109.13674926757812,,,,,,1764576635.3366313,133529600.0,,88.61958312988281,,,,,,,
