Validation Measures/dynamic_time_warping/qvel,_timestamp,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Mean Episode Return,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/site_rpos,Mean Episode Length,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Agent Video,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,_step,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rpos
,1765193588.2971706,,,52.55415344238281,,,,,,81.26041412353516,2225.975782781,,,,,,,,90931200.0,,,
248.40542602539062,1765193588.299837,10.431549072265625,179.63417053222656,52.87535858154297,0.43382176756858826,2.1275827884674072,19.210004806518555,52.82558059692383,0.2776459753513336,81.67024230957031,2225.979109086,0.6475998759269714,1.3030624389648438,,3.0926907062530518,34.35243606567383,38.38690185546875,4.227160453796387,91750400.0,37.03858947753906,0.7703816890716553,0.5367678999900818
,1765193588.3009675,,,53.60468292236328,,,,,,82.81548309326172,2225.979778754,,,,,,,,92569600.0,,,
,1765193588.3016074,,,53.37030029296875,,,,,,82.43409729003906,2225.980275561,,,,,,,,93388800.0,,,
,1765193588.3021595,,,54.13365936279297,,,,,,83.2261962890625,2225.980869543,,,,,,,,94208000.0,,,
,1765193588.3027284,,,55.367820739746094,,,,,,83.73971557617188,2225.981384656,,,,,,,,95027200.0,,,
,1765193588.3032627,,,54.92887878417969,,,,,,84.6054458618164,2225.981966072,,,,,,,,95846400.0,,,
,1765193588.303836,,,56.67890167236328,,,,,,85.51626586914062,2225.982583838,,,,,,,,96665600.0,,,
,1765193588.3044708,,,56.0538330078125,,,,,,85.4488296508789,2225.983203089,,,,,,,,97484800.0,,,
,1765193588.305103,,,56.73685836791992,,,,,,87.29786682128906,2225.98374702,,,,,,,,98304000.0,,,
,1765193588.305653,,,58.51510238647461,,,,,,88.08552551269531,2225.984329766,,,,,,,,99123200.0,,,
,1765193588.3062022,,,58.2043571472168,,,,,,87.36363983154297,2225.984846632,,,,,,,,99942400.0,,,
,1765193588.3067372,,,58.81846618652344,,,,,,88.11934661865234,2225.985424173,,,,,,,,100761600.0,,,
,1765193588.3073003,,,60.147525787353516,,,,,,90.38369750976562,2225.98592367,,,,,,,,101580800.0,,,
,1765193588.30783,,,59.73905563354492,,,,,,90.9226303100586,2225.986449352,,,,,,,,102400000.0,,,
,1765193588.3083448,,,60.44449996948242,,,,,,90.89562225341797,2225.987027061,,,,,,,,103219200.0,,,
,1765193588.3088958,,,61.28865432739258,,,,,,92.09529876708984,2225.98756145,,,,,,,,104038400.0,,,
250.50550842285156,1765193588.3115132,10.77429485321045,180.22596740722656,62.15876388549805,0.429192453622818,2.1339797973632812,18.94550895690918,52.05479431152344,0.2741263210773468,93.24566650390625,2225.990673904,0.6248340606689453,1.301558494567871,,3.1225764751434326,33.53414535522461,37.36253356933594,4.379734516143799,104857600.0,41.421775817871094,0.754399836063385,0.5292213559150696
,1765193588.3125563,,,63.292640686035156,,,,,,94.82054901123047,2225.991247629,,,,,,,,105676800.0,,,
,1765193588.313147,,,63.55112075805664,,,,,,95.34554290771484,2225.99178702,,,,,,,,106496000.0,,,
,1765193588.3136847,,,63.526885986328125,,,,,,95.28927612304688,2225.992357519,,,,,,,,107315200.0,,,
,1765193588.3142378,,,64.2034683227539,,,,,,95.6698226928711,2225.992966098,,,,,,,,108134400.0,,,
,1765193588.3148751,,,64.97612762451172,,,,,,96.96126556396484,2225.993513348,,,,,,,,108953600.0,,,
,1765193588.315426,,,66.48455810546875,,,,,,98.37751007080078,2225.994241051,,,,,,,,109772800.0,,,
