Validation Measures/dynamic_time_warping/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_step,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rrotvec
,2191.1265069,,,,,76.09596252441406,,,,,,,80281600.0,,,,1765254794.5752292,47.448238372802734,,,,
,2191.127393153,,,,,75.0102767944336,,,,,,,81100800.0,,,,1765254794.5762944,46.893943786621094,,,,
,2191.128256958,,,,,77.08470916748047,,,,,,,81920000.0,,,,1765254794.5771964,48.41167449951172,,,,
,2191.129116288,,,,,78.09973907470703,,,,,,,82739200.0,,,,1765254794.5780756,48.62877655029297,,,,
,2191.129967194,,,,,78.21244812011719,,,,,,,83558400.0,,,,1765254794.5789373,49.03390121459961,,,,
,2191.130819448,,,,,79.62654113769531,,,,,,,84377600.0,,,,1765254794.5797946,49.94489288330078,,,,
,2191.131682863,,,,,80.16523742675781,,,,,,,85196800.0,,,,1765254794.580647,50.60074996948242,,,,
,2191.132653,,,,,79.7984390258789,,,,,,,86016000.0,,,,1765254794.5814912,50.498233795166016,,,,
,2191.133627858,,,,,80.78498077392578,,,,,,,86835200.0,,,,1765254794.5824406,50.60499572753906,,,,
,2191.134653955,,,,,82.37191772460938,,,,,,,87654400.0,,,,1765254794.5833936,51.90489959716797,,,,
,2191.135958664,,,,,81.88630676269531,,,,,,,88473600.0,,,,1765254794.584386,51.34771728515625,,,,
,2191.13727816,,,,,82.96768951416016,,,,,,,89292800.0,,,,1765254794.5856307,51.674442291259766,,,,
,2191.138697441,,,,,82.77371978759766,,,,,,,90112000.0,,,,1765254794.5869505,51.66023635864258,,,,
,2191.139594751,,,,,84.09019470214844,,,,,,,90931200.0,,,,1765254794.5882304,53.60487747192383,,,,
42.65311813354492,2191.149839175,3.1424553394317627,183.612548828125,4.26731014251709,38.5849494934082,84.02275848388672,53.68354415893555,34.49312973022461,2.155529499053955,10.482499122619629,0.43197429180145264,0.28787603974342346,91750400.0,,0.555725634098053,1.4069145917892456,1765254794.5943546,52.7033576965332,0.7861903309822083,252.9560089111328,19.665273666381836,0.7176156640052795
,2191.152634075,,,,,85.29875183105469,,,,,,,92569600.0,,,,1765254794.5992813,53.781925201416016,,,,
,2191.155541482,,,,,86.3164291381836,,,,,,,93388800.0,,,,1765254794.6018243,54.1640625,,,,
,2191.15831608,,,,,86.69339752197266,,,,,,,94208000.0,,,,1765254794.6046636,55.18743133544922,,,,
,2191.160715791,,,,,87.05760955810547,,,,,,,95027200.0,,,,1765254794.6075711,55.203224182128906,,,,
,2191.162955111,,,,,88.2161865234375,,,,,,,95846400.0,,,,1765254794.6101172,56.126155853271484,,,,
,2191.165099664,,,,,88.15299987792969,,,,,,,96665600.0,,,,1765254794.6123624,57.014217376708984,,,,
,2191.16710485,,,,,90.30463409423828,,,,,,,97484800.0,,,,1765254794.6145558,57.817901611328125,,,,
,2191.169494587,,,,,90.78841400146484,,,,,,,98304000.0,,,,1765254794.6165705,57.884803771972656,,,,
,2191.171614758,,,,,90.54801940917969,,,,,,,99123200.0,,,,1765254794.6188757,58.39080047607422,,,,
,2191.173896615,,,,,91.58466339111328,,,,,,,99942400.0,,,,1765254794.6211016,60.01103973388672,,,,
,2191.176333927,,,,,92.45027923583984,,,,,,,100761600.0,,,,1765254794.6231363,59.77225875854492,,,,
,2191.178428964,,,,,91.51812744140625,,,,,,,101580800.0,,,,1765254794.6257374,58.83625030517578,,,,
,2191.180038745,,,,,94.67384338378906,,,,,,,102400000.0,,,,1765254794.6277018,61.39977264404297,,,,
,2191.18193333,,,,,94.58494567871094,,,,,,,103219200.0,,,,1765254794.629491,60.789772033691406,,,,
,2191.183631102,,,,,95.00735473632812,,,,,,,104038400.0,,,,1765254794.6313622,62.2397346496582,,,,
41.08380889892578,2191.190543378,3.120558500289917,180.7196502685547,4.423420429229736,42.121490478515625,96.2540283203125,49.625,33.56257247924805,2.137141466140747,10.400818824768066,0.4262700378894806,0.2746891975402832,104857600.0,,0.5338745713233948,1.3393296003341675,1765254794.6383955,62.15227508544922,0.7452744245529175,249.0225830078125,18.802331924438477,0.6894544959068298
,2191.191344516,,,,,99.00485229492188,,,,,,,105676800.0,,,,1765254794.6403494,64.46436309814453,,,,
,2191.192111715,,,,,98.51026916503906,,,,,,,106496000.0,,,,1765254794.6411943,63.95240020751953,,,,
,2191.192859495,,,,,99.46432495117188,,,,,,,107315200.0,,,,1765254794.6419268,64.44686126708984,,,,
,2191.193544752,,,,,99.5204086303711,,,,,,,108134400.0,,,,1765254794.6426995,64.62015533447266,,,,
,2191.194219395,,,,,100.34687805175781,,,,,,,108953600.0,,,,1765254794.6434,66.39263153076172,,,,
,2191.194773712,,,,,101.11064910888672,,,,,,,109772800.0,,,,1765254794.6440315,66.21027374267578,,,,
,2191.195319143,,,,,100.88269805908203,,,,,,,110592000.0,,,,1765254794.6446688,66.45713806152344,,,,
,2191.196075229,,,,,102.11077117919922,,,,,,,111411200.0,,,,1765254794.6452165,67.42074584960938,,,,
,2191.196610955,,,,,103.65045928955078,,,,,,,112230400.0,,,,1765254794.6459486,68.78421783447266,,,,
,2191.19716171,,,,,104.10211181640625,,,,,,,113049600.0,,,,1765254794.6465106,69.55585479736328,,,,
,2191.19764409,,,,,103.84852600097656,,,,,,,113868800.0,,,,1765254794.6470342,69.68081665039062,,,,
,2191.198161086,,,,,105.00846099853516,,,,,,,114688000.0,,,,1765254794.6475344,70.697998046875,,,,
,2191.198696685,,,,,104.47345733642578,,,,,,,115507200.0,,,,1765254794.6480799,70.53884887695312,,,,
,2191.199259952,,,,,106.26168060302734,,,,,,,116326400.0,,,,1765254794.6485894,72.13423919677734,,,,
,2191.199794702,,,,,106.35272216796875,,,,,,,117145600.0,,,,1765254794.6491697,72.04891967773438,,,,
33.34725570678711,2191.202691431,3.050788640975952,174.51123046875,4.238585472106934,40.1054801940918,106.71100616455078,49.74647903442383,30.40489387512207,2.0456621646881104,10.05505084991455,0.3890323340892792,0.2260594666004181,117964800.0,,0.41511958837509155,1.0927271842956543,1765254794.651664,74.28040313720703,0.6962652206420898,246.6664276123047,14.6328125,0.5795490145683289
,2191.203189669,,,,,106.8934326171875,,,,,,,118784000.0,,,,1765254794.652613,73.23357391357422,,,,
,2191.20373168,,,,,106.60865020751953,,,,,,,119603200.0,,,,1765254794.6531074,74.36420440673828,,,,
,2191.204243065,,,,,108.76368713378906,,,,,,,120422400.0,,,,1765254794.6536365,75.75083923339844,,,,
,2191.20482963,,,,,107.43878173828125,,,,,,,121241600.0,,,,1765254794.6541262,75.82102966308594,,,,
,2191.205415146,,,,,106.9465103149414,,,,,,,122060800.0,,,,1765254794.6547458,76.65618133544922,,,,
,2191.205897823,,,,,106.58059692382812,,,,,,,122880000.0,,,,1765254794.65528,76.16214752197266,,,,
,2191.206458383,,,,,108.07026672363281,,,,,,,123699200.0,,,,1765254794.6558008,78.17034149169922,,,,
,2191.206960221,,,,,109.0255355834961,,,,,,,124518400.0,,,,1765254794.6563454,79.83373260498047,,,,
,2191.207440229,,,,,108.45071411132812,,,,,,,125337600.0,,,,1765254794.6568718,79.65267944335938,,,,
,2191.207969162,,,,,109.11495208740234,,,,,,,126156800.0,,,,1765254794.657358,80.5680160522461,,,,
,2191.208490887,,,,,110.12554168701172,,,,,,,126976000.0,,,,1765254794.657878,81.27174377441406,,,,
,2191.209025999,,,,,110.16239929199219,,,,,,,127795200.0,,,,1765254794.6583655,84.06704711914062,,,,
,2191.209610278,,,,,108.68213653564453,,,,,,,128614400.0,,,,1765254794.6589122,83.84390258789062,,,,
,2191.210248443,,,,,109.42494201660156,,,,,,,129433600.0,,,,1765254794.6594477,84.87825775146484,,,,
,2191.21084068,,,,,109.5572280883789,,,,,,,130252800.0,,,,1765254794.660075,85.42491912841797,,,,
28.502538681030273,2191.213938196,3.120983839035034,186.3317413330078,4.51386022567749,41.5321044921875,110.74775695800781,45.840579986572266,29.88542366027832,2.180176258087158,10.065585136413574,0.3849225640296936,0.19826847314834595,131072000.0,,0.36536264419555664,0.9957905411720276,1765254794.662753,88.52288055419922,0.6748286485671997,250.17271423339844,11.781041145324707,0.5160860419273376
,2191.214543573,,,,,109.59967803955078,,,,,,,131891200.0,,,,1765254794.6638172,87.9117660522461,,,,
,2191.2150786,,,,,109.892333984375,,,,,,,132710400.0,,,,1765254794.6644254,89.04039001464844,,,,
