Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,_timestamp,_step,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos
,,,,,,,,2208.654194392,148.61050415039062,,,111.00975799560547,,1764574422.5454104,242483200.0,,,,,,,
,,,,,,,,2208.654690272,148.44937133789062,,,110.60201263427734,,1764574422.5458875,243302400.0,,,,,,,
,,,,,,,,2208.655213066,148.91883850097656,,,110.94915771484375,,1764574422.5463893,244121600.0,,,,,,,
,,,,,,,,2208.656391427,148.2318572998047,,,110.31730651855469,,1764574422.5468564,244940800.0,,,,,,,
,,,,,,,,2208.65725528,152.82461547851562,,,113.4664077758789,,1764574422.5477939,245760000.0,,,,,,,
,,,,,,,,2208.658038309,151.07720947265625,,,112.03132629394531,,1764574422.5487864,246579200.0,,,,,,,
,,,,,,,,2208.658589637,149.1929931640625,,,110.78713989257812,,1764574422.549678,247398400.0,,,,,,,
,,,,,,,,2208.659123319,151.5982208251953,,,112.19849395751953,,1764574422.5502398,248217600.0,,,,,,,
10.858901023864746,0.11254563927650452,191.58106994628906,42.921875,2.9817895889282227,2.263767719268799,0.2346787005662918,0.6008412837982178,2208.662081689,150.6129150390625,5.906529903411865,,111.6436996459961,0.2444310337305069,1764574422.552697,249036800.0,239.69139099121094,22.737537384033203,4.933923721313477,56.278594970703125,0.5407803654670715,11.143635749816895,0.3063650131225586
,,,,,,,,2208.662599892,148.2677764892578,,,110.02490997314453,,1764574422.5537605,249856000.0,,,,,,,
,,,,,,,,2208.663122113,149.21470642089844,,,110.66038513183594,,1764574422.5542727,250675200.0,,,,,,,
,,,,,,,,2208.663643784,150.83511352539062,,,111.6008529663086,,1764574422.5547917,251494400.0,,,,,,,
,,,,,,,,2208.664159817,154.1284637451172,,,113.88401794433594,,1764574422.5553136,252313600.0,,,,,,,
,,,,,,,,2208.664686383,152.41029357910156,,,112.35892486572266,,1764574422.555836,253132800.0,,,,,,,
,,,,,,,,2208.665192989,151.04486083984375,,,111.18086242675781,,1764574422.5563571,253952000.0,,,,,,,
,,,,,,,,2208.665886678,153.2035675048828,,,112.38133239746094,,1764574422.556872,254771200.0,,,,,,,
,,,,,,,,2208.666532151,151.75201416015625,,,111.498291015625,,1764574422.5574849,255590400.0,,,,,,,
,,,,,,,,2208.66708615,151.87542724609375,,,111.76390075683594,,1764574422.558119,256409600.0,,,,,,,
,,,,,,,,2208.667746893,151.9959716796875,,,111.5650863647461,,1764574422.5587277,257228800.0,,,,,,,
,,,,,,,,2208.668340804,152.35235595703125,,,111.5658950805664,,1764574422.5593832,258048000.0,,,,,,,
,,,,,,,,2208.668933991,152.11288452148438,,,111.44706726074219,,1764574422.559998,258867200.0,,,,,,,
,,,,,,,,2208.669521457,153.74826049804688,,,112.21151733398438,,1764574422.5605931,259686400.0,,,,,,,
,,,,,,,,2208.670115349,152.27227783203125,,,111.4771728515625,,1764574422.5611622,260505600.0,,,,,,,
,,,,,,,,2208.670652039,151.94540405273438,,,111.2247314453125,,1764574422.5617347,261324800.0,,,,,,,
11.255629539489746,0.11382345110177994,184.45391845703125,43.80952453613281,2.930992364883423,2.1572887897491455,0.24521152675151825,0.6070881485939026,2208.676154355,153.39413452148438,5.98248291015625,,111.79680633544922,0.24398909509181976,1764574422.565741,262144000.0,238.99481201171875,21.86876106262207,4.871523857116699,54.88602828979492,0.5279633402824402,11.168524742126465,0.2954804301261902
,,,,,,,,2208.677048261,152.29104614257812,,,111.01493072509766,,1764574422.5677278,262963200.0,,,,,,,
,,,,,,,,2208.677877973,151.49974060058594,,,110.48799896240234,,1764574422.5686505,263782400.0,,,,,,,
,,,,,,,,2208.678713845,153.39588928222656,,,111.8235092163086,,1764574422.569493,264601600.0,,,,,,,
,,,,,,,,2208.679514772,155.2817840576172,,,112.7596206665039,,1764574422.570323,265420800.0,,,,,,,
,,,,,,,,2208.680328774,149.7947998046875,,,109.32943725585938,,1764574422.5711288,266240000.0,,,,,,,
,,,,,,,,2208.68117493,152.892578125,,,111.13224792480469,,1764574422.5719507,267059200.0,,,,,,,
,,,,,,,,2208.682110313,153.8529510498047,,,111.46977233886719,,1764574422.5727975,267878400.0,,,,,,,
,,,,,,,,2208.683037892,153.89724731445312,,,111.57121276855469,,1764574422.5736938,268697600.0,,,,,,,
,,,,,,,,2208.683560969,154.7060546875,,,111.76475524902344,,1764574422.5745742,269516800.0,,,,,,,
,,,,,,,,2208.684117694,155.90249633789062,,,112.81427001953125,,1764574422.575228,270336000.0,,,,,,,
,,,,,,,,2208.684874987,155.67442321777344,,,112.4926986694336,,1764574422.575788,271155200.0,,,,,,,
,,,,,,,,2208.685534635,156.12684631347656,,,112.44564819335938,,1764574422.5765114,271974400.0,,,,,,,
,,,,,,,,2208.686432357,155.42344665527344,,,112.0829086303711,,1764574422.5771554,272793600.0,,,,,,,
,,,,,,,,2208.687182972,153.02789306640625,,,110.8968505859375,,1764574422.5779681,273612800.0,,,,,,,
,,,,,,,,2208.687789763,155.6238250732422,,,112.3833999633789,,1764574422.5787456,274432000.0,,,,,,,
9.63764476776123,0.10310927033424377,190.01695251464844,48.53191375732422,2.9262349605560303,2.225886106491089,0.21465785801410675,0.5559911727905273,2208.691450687,157.11648559570312,5.383083343505859,,113.18280029296875,0.22820767760276794,1764574422.5818312,275251200.0,235.66644287109375,20.883106231689453,4.856999397277832,68.0604476928711,0.5006229877471924,11.03933048248291,0.28396663069725037
,,,,,,,,2208.692147617,156.24168395996094,,,112.54051971435547,,1764574422.583055,276070400.0,,,,,,,
,,,,,,,,2208.692836627,154.50387573242188,,,111.13471221923828,,1764574422.5837839,276889600.0,,,,,,,
,,,,,,,,2208.693541651,154.60308837890625,,,111.07904052734375,,1764574422.5844667,277708800.0,,,,,,,
,,,,,,,,2208.694293907,154.21934509277344,,,111.03826904296875,,1764574422.5851488,278528000.0,,,,,,,
,,,,,,,,2208.695047704,154.81777954101562,,,110.99188232421875,,1764574422.5859044,279347200.0,,,,,,,
,,,,,,,,2208.696126604,154.49717712402344,,,111.00569915771484,,1764574422.5866294,280166400.0,,,,,,,
,,,,,,,,2208.697135086,156.67575073242188,,,112.13752746582031,,1764574422.5875921,280985600.0,,,,,,,
,,,,,,,,2208.698090626,155.74423217773438,,,111.8902816772461,,1764574422.5885863,281804800.0,,,,,,,
